table_name , partition_name ,subpartition_name , num_rows , sample_size , last_analyzed , global_stats , stale_stats
FT_O_TRSV,,,0,0,09-MAY-17,YES,NO
FT_O_UIAM,,,0,0,09-MAY-17,YES,NO
FT_O_UIBL,,,48,48,08-MAR-18,YES,NO
FT_O_UICO,,,18,18,15-MAR-18,YES,NO
FT_O_UIEB,,,68,68,15-MAR-18,YES,NO
FT_O_UIEP,,,279,279,15-MAR-18,YES,NO
FT_O_UIMS,,,130,130,12-JUN-17,YES,NO
FT_O_UIOL,,,332,332,09-MAY-17,YES,NO
FT_O_UIRE,,,1697,1697,09-MAR-18,YES,NO
FT_O_UISA,,,153,153,15-MAR-18,YES,NO
FT_O_UISB,,,0,0,20-OCT-17,YES,NO
FT_O_UISC,,,127,127,15-MAR-18,YES,NO
FT_O_UISD,,,0,0,15-MAR-18,YES,NO
FT_O_UISP,,,4732,4732,15-MAR-18,YES,NO
FT_O_UISR,,,1259,1259,15-MAR-18,YES,NO
FT_O_UISS,,,3740,3740,28-FEB-18,YES,NO
FT_O_UIST,,,124,124,15-MAR-18,YES,NO
FT_O_USER_TL,,,0,0,09-MAY-17,YES,NO
FT_O_VCEI,,,0,0,09-MAY-17,YES,NO
FT_O_VDCP,,,0,0,09-MAY-17,YES,NO
FT_O_VDCS,,,0,0,09-MAY-17,YES,NO
FT_O_VYFR,,,0,0,09-MAY-17,YES,NO
FT_O_VYID,,,0,0,09-MAY-17,YES,NO
FT_O_VYRR,,,0,0,09-MAY-17,YES,NO
FT_O_VYRS,,,0,0,09-MAY-17,YES,NO
FT_O_VYRT,,,0,0,09-MAY-17,YES,NO
FT_O_WFEA,,,0,0,09-MAY-17,YES,NO
FT_O_WKMS,,,0,0,09-MAY-17,YES,NO
FT_TMP_ASSETSETUP,,,,,,NO,
FT_TMP_CYCH,,,,,,NO,
FT_TMP_FXST,,,,,,NO,
FT_TMP_GPRCTOCHECK,,,,,,NO,
FT_TMP_GUNT,,,,,,NO,
FT_TMP_IPPC,,,,,,NO,
FT_TMP_ISID,,,,,,NO,
FT_TMP_ISJB,,,,,,NO,
FT_TMP_ISPC,,,,,,NO,
FT_TMP_ISPCTOCHECK,,,,,,NO,
FT_TMP_ISSU,,,,,,NO,
FT_TMP_MIXR,,,,,,NO,
FT_TMP_MKID,,,,,,NO,
FT_TMP_MKIS,,,,,,NO,
FT_TMP_MRKT,,,,,,NO,
FT_TMP_OID,,,,,,NO,
FT_TMP_PCST,,,,,,NO,
FT_TMP_PRVI,,,,,,NO,
FT_TMP_RATINGS,,,,,,NO,
FT_T_AABP,,,0,0,09-MAY-17,YES,NO
FT_T_AACO,,,0,0,09-MAY-17,YES,NO
FT_T_AAME,,,28,28,09-MAY-17,YES,NO
FT_T_AAPI,,,7,7,09-MAY-17,YES,NO
FT_T_AAPS,,,0,0,09-MAY-17,YES,NO
FT_T_AASW,,,0,0,09-MAY-17,YES,NO
FT_T_ABDF,,,3,3,05-MAR-18,YES,NO
FT_T_ABKI,,,0,0,09-MAY-17,YES,NO
FT_T_ABMR,,,232,232,25-MAY-17,YES,NO
FT_T_ACAC,,,0,0,09-MAY-17,YES,NO
FT_T_ACAH,,,0,0,09-MAY-17,YES,NO
FT_T_ACAH,FT_T_ACAH_P0,,0,,09-MAY-17,YES,NO
FT_T_ACAJ,,,0,0,09-MAY-17,YES,NO
FT_T_ACAJ,FT_T_ACAJ_P0,,0,,09-MAY-17,YES,NO
FT_T_ACAR,,,625,625,09-MAY-17,YES,NO
FT_T_ACAV,,,0,0,09-MAY-17,YES,NO
FT_T_ACBA,,,0,0,09-MAY-17,YES,NO
FT_T_ACCA,,,0,0,09-MAY-17,YES,NO
FT_T_ACCL,,,944,944,05-MAR-18,YES,NO
